date,open,high,low,close,volume
2024-12-24 09:45:00+05:30,84.05,113.7,77.1,95,15054200
2024-12-24 10:00:00+05:30,95.7,111.4,92.35,99.85,16936475
2024-12-24 10:15:00+05:30,100.7,105.7,78.15,99.3,11404050
2024-12-24 10:30:00+05:30,100,104.9,77.8,81.35,7199850
2024-12-24 10:45:00+05:30,82.05,119,77.3,110.1,7254325
2024-12-24 11:00:00+05:30,80.5,93.95,79,80,5465950
2024-12-24 11:15:00+05:30,79.9,92.95,79.15,83.3,5066525
2024-12-24 11:30:00+05:30,84.9,113.15,78.8,80.7,5448150
2024-12-24 11:45:00+05:30,80.6,111.25,75.75,106.2,4632150
2024-12-24 12:00:00+05:30,104.9,104.9,81.6,82.35,9786575
2024-12-24 12:15:00+05:30,81.45,106.3,72.6,74.75,8468275
2024-12-24 12:30:00+05:30,73.75,90.25,72.5,85.75,10526275
2024-12-24 12:45:00+05:30,85.65,95.3,76.95,79.9,8860625
2024-12-24 13:00:00+05:30,79.75,80.55,71.4,74.7,5769025
